image,class_sequence
0011b4d3f9068a9efbb84dc3157b76c9.jpg,[4]
0019a9ab6fd5ef3df915241bc323afb5.jpg,"[4, 4]"
00521f6fd0d749c9601a55eb8cf7533e.jpg,"[4, 4, 4, 4, 4]"
0081b25823f23a536c9f1952491db636.jpg,"[4, 4, 4, 4]"
00b48429c1382cc7d1c72926acedbaa7.jpg,"[4, 4, 4]"
01c65b93ec97107c9f06dcd14d5b1f72.jpg,[4]
01e9cf28b75fb555eb5d6116bd1d4fcd.jpg,"[4, 4, 4, 4, 4, 4, 4, 4]"
020b932be0eee2d4c473f595584d1698.jpg,[4]
02375183f793040ebe1192ef1177104d.jpg,"[4, 4]"
02533dafc548f483ce858ce385dfba6b.jpg,"[4, 4, 4, 4, 4]"
027a4ea75b44bb19e5462d550af31565.jpg,[10]
02e2d9573c57106bec1f9c7d02e9df76.jpg,"[4, 4, 4]"
032488ec5ffbb993ab79dcd797787c95.jpg,"[4, 4, 4]"
037655b9c038b0ad1d871d7b855c4c12.jpg,"[4, 4]"
03858da6a532e19e7fdbe35530bf2447.jpg,"[4, 4, 4]"
04210994b792641e97f4c4a57f545218.jpg,[4]
0422d536e5855168fa4d2f8fda42a88e.jpg,[4]
0444b70bd974141ed18302c314383836.jpg,[4]
04dc5a12c2a385ab131b7a62e845b624.jpg,"[4, 4]"
053d4e9e51ac3a2c944f2c252a089754.jpg,"[5, 4, 5, 5]"
059f9c9fc7caffa01e85d7bbed2dab07.jpg,"[4, 4, 4, 4]"
05de96481dbc4e99f086a1b2315d3a66.jpg,"[4, 4, 4]"
05edd3d39de7161ab910d85386d53c30.jpg,"[4, 4, 4, 4, 4]"
05f7748046f5a6878e3057f5afdf3094.jpg,"[4, 4, 4, 4, 4]"
063a6022eb9ff9f74f15740cab410887.jpg,[4]
063bfc1148835b0288abbeb29105e183.jpg,[4]
07210b2e5f113cf9dcf8ed5d5f3a4b6a.jpg,[2]
07217b23cec3bd4ef0538c91a810904a.jpg,"[4, 4]"
07381c666a8a9b3a0d6c1ce72cd47cac.jpg,[4]
07ab12aabf47cf31fc4ba7cc9b599ac0.jpg,"[4, 4, 4, 4, 4]"
080b2bf6f02ad0ee43e9642ee99653d6.jpg,[4]
081e7bb3832ec5bb25276db161a96274.jpg,"[4, 4, 4, 4, 4]"
08375747bbf8a35b2fa9d644ffd472c0.jpg,"[4, 4, 4]"
0864a1f58713463aa61353819526481b.jpg,"[4, 4]"
08ccb70fae5611a562f8bce98bd95631.jpg,"[4, 4, 4]"
08ff821382070d96d7cb1b74f921459e.jpg,"[4, 4, 4, 4, 4, 4]"
09294b3485395f7277a59eeb2cab9be7.jpg,"[4, 4, 4]"
097f48b22802f8b5f1a71a2a23d14dcf.jpg,[4]
09a77c30ecbb3c27a3d5c739cf6d9256.jpg,"[4, 4]"
09ba3566bd835c9712add11af8755221.jpg,"[4, 4, 4]"
09f61df2adae3dcd95a4e05286b1af9d.jpg,"[4, 4]"
0a1ea4614a9df912eeb8d1b40bffee74.jpg,[4]
0a4f38c94dd63cd8e5b9209dc9892146.jpg,[4]
0a584ddb325ed1ab4083d341280caaa8.jpg,"[4, 4]"
0b18e00ab6d363022e094b618adb40af.jpg,"[4, 4]"
0b8acebd823fee244034eff07dc37623.jpg,[4]
0b993acc38a4103db91c85e2f03c43c0.jpg,"[4, 4, 4]"
0ba2a22e1f8aa653476ce5f957a85310.jpg,"[4, 4, 4]"
0bd806a66f1d4e4302b354c34baca077.jpg,"[4, 4, 4]"
0c0470911e57a5ed7de67279bd7140a0.jpg,[4]
0c70aa158825293871d69568ed9d5964.jpg,"[4, 4, 4, 4, 4]"
0c75c5a189d01d80c275e47be1fba699.jpg,"[4, 4, 4, 4]"
0cea01b93119a3e2e78f83841ef7e7c9.jpg,"[4, 4]"
0d200a6761b3ebd25b290fc3b4008bd3.jpg,[4]
0d45bfb08eb484cf4413359d8eab651b.jpg,[4]
0dfe52c707e21f2ef97e7a406113cd06.jpg,[7]
0e30c2a3c1c661e4b7e3c0cdc58915f4.jpg,"[4, 4, 4]"
0e30e713f2741ce3281d6409592a62e8.jpg,"[4, 4, 4]"
0eb207a4fe390364bdf229da5c3a97dd.jpg,"[4, 4]"
0eb4d68fcd12a4e5be6fb85255b86132.jpg,[2]
0ec9656d431a711a03afd1c601d0fce0.jpg,[4]
0f18d0b05511187a731efc8a65632113.jpg,"[4, 4]"
0f1c12d264738de75f12714d6da6be5d.jpg,"[4, 4, 4, 4, 4, 4]"
0fbfe80c0949bcc0f35f4c7484a83a52.jpg,"[4, 4]"
0fc6c456b47ab87cb01b3705a617fee2.jpg,[4]
1047bc77792076dc1723c16ce94c76da.jpg,"[4, 4, 4, 4]"
106d7a0fc9e9d911eca33df2e13517a2.jpg,"[4, 4, 4, 4, 4]"
10792bd89ac5f904e578a59d6f45ef7a.jpg,"[4, 4, 4, 4, 4, 4]"
10d7ee74749d74d59b2ea4acd973161d.jpg,"[4, 4, 4]"
1189cc11d9a896eed893ed1e45a5a469.jpg,"[3, 3]"
1199c52a9a67fd1d551c5e3c6ace388d.jpg,"[4, 4]"
119f4f9696e95381354bad27e9dc0bc8.jpg,"[4, 4, 10]"
11c959afb695301f1cf188cce1ad440d.jpg,"[4, 4]"
125744de9cf3740396125c9426fad0d5.jpg,"[4, 4]"
1282dd41f047a880f963bbd6b508b527.jpg,[4]
12b0909ca1a7274b819a26e59eacf0f3.jpg,"[4, 4, 4]"
132a0e6516738c5c2bb7a5a4dde17455.jpg,[4]
135be3531b6a703687c50cee14a897d5.jpg,[4]
13f1c6ff52e9817ecfd89a478f45d7c7.jpg,[4]
13f62bd5f66a9a7198972f2658b6dcf6.jpg,[4]
14b5dc2e880e764cea8acd021f0998ed.jpg,"[4, 4, 4]"
14be9912aa9cd1b1d670a14c06c49375.jpg,"[0, 0]"
151ebcdb6394b4fe5830234fa76e447f.jpg,"[2, 2]"
153f95424888ca702ca9852f98f92fe7.jpg,"[4, 4, 4]"
155b5e088bd6a686024c0b362cdf9e78.jpg,[10]
1575e69982c92c602dc363d00620d265.jpg,[4]
157b2ffb5e86fd64686e3683c99262e9.jpg,[4]
15aae6e5a32822ab52600b52cdb84c4f.jpg,[4]
15ac2095875d2277d8fd7918235496e3.jpg,"[4, 4, 4, 4, 4]"
162114a938d28c38a656a5c9ae145ff2.jpg,"[4, 4, 4, 4, 4]"
165b67fcbe2adc6dd470ab939c854d8f.jpg,"[4, 4]"
168302025b178e69a4313bb315d6e885.jpg,"[4, 4, 4, 4, 4, 4, 4, 4]"
16bff027619beb4ff1052bbcc5707e9d.jpg,"[4, 4]"
16c178ba7a73c03b9200aaca6bf082ed.jpg,"[4, 4, 4]"
16c94aad9cbe12f4cb731ba12bb39f33.jpg,[4]
16cbf47036c5c12cd55f921594f26d1e.jpg,[4]
